variable,expression,result
K, ( \arctan ( K ) )  ^ { m },(  \frac { 1 } { 1 + K ^ { 2 } } ) m  ( \arctan ( K ) )  ^ { m - 1 }
K, ( \arctan ( K ) )  ^ { 0 },(  \frac { 1 } { 1 + K ^ { 2 } } ) 0
K,G ^ {  ( \arctan ( K ) )  },(  \frac { 1 } { 1 + K ^ { 2 } } ) G ^ {  ( \arctan ( K ) )  } \ln ( G )
K,e ^ {  ( \arctan ( K ) )  },(  \frac { 1 } { 1 + K ^ { 2 } } ) e ^ {  ( \arctan ( K ) )  }
K,\exp (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \exp (  ( \arctan ( K ) )  )
K,\ln (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } {  ( \arctan ( K ) )  }
K,\log _ { \Xi } (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } {  ( \arctan ( K ) )  \ln ( { \Xi } ) }
K,\sin (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \cos (  ( \arctan ( K ) )  )
K,\cos (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) - \sin (  ( \arctan ( K ) )  )
K,\tan (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( K ) )  ) }
K,\cot (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( K ) )  ) }
K,\arcsin (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( K ) )  ^ { 2 } } }
K,\arccos (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( K ) )  ^ { 2 } } }
K,\arctan (  ( \arctan ( K ) )  ),(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( K ) )  ^ { 2 } }
K, ( \arctan ( K ) )  + X,(  \frac { 1 } { 1 + K ^ { 2 } } ) 1
K,I -  ( \arctan ( K ) ) ,(  \frac { 1 } { 1 + K ^ { 2 } } ) - 1
K, ( \arctan ( K ) )  1,(  \frac { 1 } { 1 + K ^ { 2 } } ) 1
K,\frac { 1 } {  ( \arctan ( K ) )  + W },(  \frac { 1 } { 1 + K ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( K ) )  + W ) ^ { 2 } }
K,\frac { 1 } { r -  ( \arctan ( K ) )  },(  \frac { 1 } { 1 + K ^ { 2 } } ) \frac { 1 } { ( r -  ( \arctan ( K ) )  ) ^ { 2 } }
L, ( \arctan ( L ) )  ^ { V },(  \frac { 1 } { 1 + L ^ { 2 } } ) V  ( \arctan ( L ) )  ^ { V - 1 }
L, ( \arctan ( L ) )  ^ { 0 },(  \frac { 1 } { 1 + L ^ { 2 } } ) 0
L,\chi ^ {  ( \arctan ( L ) )  },(  \frac { 1 } { 1 + L ^ { 2 } } ) \chi ^ {  ( \arctan ( L ) )  } \ln ( \chi )
L,e ^ {  ( \arctan ( L ) )  },(  \frac { 1 } { 1 + L ^ { 2 } } ) e ^ {  ( \arctan ( L ) )  }
L,\exp (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \exp (  ( \arctan ( L ) )  )
L,\ln (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } {  ( \arctan ( L ) )  }
L,\log _ { m } (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } {  ( \arctan ( L ) )  \ln ( { m } ) }
L,\sin (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \cos (  ( \arctan ( L ) )  )
L,\cos (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) - \sin (  ( \arctan ( L ) )  )
L,\tan (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( L ) )  ) }
L,\cot (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( L ) )  ) }
L,\arcsin (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( L ) )  ^ { 2 } } }
L,\arccos (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( L ) )  ^ { 2 } } }
L,\arctan (  ( \arctan ( L ) )  ),(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( L ) )  ^ { 2 } }
L, ( \arctan ( L ) )  + j,(  \frac { 1 } { 1 + L ^ { 2 } } ) 1
L,\kappa -  ( \arctan ( L ) ) ,(  \frac { 1 } { 1 + L ^ { 2 } } ) - 1
L, ( \arctan ( L ) )  I,(  \frac { 1 } { 1 + L ^ { 2 } } ) I
L,\frac { 1 } {  ( \arctan ( L ) )  + X },(  \frac { 1 } { 1 + L ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( L ) )  + X ) ^ { 2 } }
L,\frac { 1 } { Y -  ( \arctan ( L ) )  },(  \frac { 1 } { 1 + L ^ { 2 } } ) \frac { 1 } { ( Y -  ( \arctan ( L ) )  ) ^ { 2 } }
M, ( \arctan ( M ) )  ^ { E },(  \frac { 1 } { 1 + M ^ { 2 } } ) E  ( \arctan ( M ) )  ^ { E - 1 }
M, ( \arctan ( M ) )  ^ { 0 },(  \frac { 1 } { 1 + M ^ { 2 } } ) 0
M,B ^ {  ( \arctan ( M ) )  },(  \frac { 1 } { 1 + M ^ { 2 } } ) B ^ {  ( \arctan ( M ) )  } \ln ( B )
M,e ^ {  ( \arctan ( M ) )  },(  \frac { 1 } { 1 + M ^ { 2 } } ) e ^ {  ( \arctan ( M ) )  }
M,\exp (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \exp (  ( \arctan ( M ) )  )
M,\ln (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } {  ( \arctan ( M ) )  }
M,\log _ { 4 } (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } {  ( \arctan ( M ) )  \ln ( { 4 } ) }
M,\sin (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \cos (  ( \arctan ( M ) )  )
M,\cos (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) - \sin (  ( \arctan ( M ) )  )
M,\tan (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( M ) )  ) }
M,\cot (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( M ) )  ) }
M,\arcsin (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( M ) )  ^ { 2 } } }
M,\arccos (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( M ) )  ^ { 2 } } }
M,\arctan (  ( \arctan ( M ) )  ),(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( M ) )  ^ { 2 } }
M, ( \arctan ( M ) )  + P,(  \frac { 1 } { 1 + M ^ { 2 } } ) 1
M,m -  ( \arctan ( M ) ) ,(  \frac { 1 } { 1 + M ^ { 2 } } ) - 1
M, ( \arctan ( M ) )  y,(  \frac { 1 } { 1 + M ^ { 2 } } ) y
M,\frac { 1 } {  ( \arctan ( M ) )  + F },(  \frac { 1 } { 1 + M ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( M ) )  + F ) ^ { 2 } }
M,\frac { 1 } { k -  ( \arctan ( M ) )  },(  \frac { 1 } { 1 + M ^ { 2 } } ) \frac { 1 } { ( k -  ( \arctan ( M ) )  ) ^ { 2 } }
N, ( \arctan ( N ) )  ^ { \Sigma },(  \frac { 1 } { 1 + N ^ { 2 } } ) \Sigma  ( \arctan ( N ) )  ^ { \Sigma - 1 }
N, ( \arctan ( N ) )  ^ { 0 },(  \frac { 1 } { 1 + N ^ { 2 } } ) 0
N,o ^ {  ( \arctan ( N ) )  },(  \frac { 1 } { 1 + N ^ { 2 } } ) o ^ {  ( \arctan ( N ) )  } \ln ( o )
N,e ^ {  ( \arctan ( N ) )  },(  \frac { 1 } { 1 + N ^ { 2 } } ) e ^ {  ( \arctan ( N ) )  }
N,\exp (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \exp (  ( \arctan ( N ) )  )
N,\ln (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } {  ( \arctan ( N ) )  }
N,\log _ { \Xi } (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } {  ( \arctan ( N ) )  \ln ( { \Xi } ) }
N,\sin (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \cos (  ( \arctan ( N ) )  )
N,\cos (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) - \sin (  ( \arctan ( N ) )  )
N,\tan (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( N ) )  ) }
N,\cot (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( N ) )  ) }
N,\arcsin (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( N ) )  ^ { 2 } } }
N,\arccos (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( N ) )  ^ { 2 } } }
N,\arctan (  ( \arctan ( N ) )  ),(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( N ) )  ^ { 2 } }
N, ( \arctan ( N ) )  + \zeta,(  \frac { 1 } { 1 + N ^ { 2 } } ) 1
N,b -  ( \arctan ( N ) ) ,(  \frac { 1 } { 1 + N ^ { 2 } } ) - 1
N, ( \arctan ( N ) )  \eta,(  \frac { 1 } { 1 + N ^ { 2 } } ) \eta
N,\frac { 1 } {  ( \arctan ( N ) )  + c },(  \frac { 1 } { 1 + N ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( N ) )  + c ) ^ { 2 } }
N,\frac { 1 } { \tau -  ( \arctan ( N ) )  },(  \frac { 1 } { 1 + N ^ { 2 } } ) \frac { 1 } { ( \tau -  ( \arctan ( N ) )  ) ^ { 2 } }
O, ( \arctan ( O ) )  ^ { \vartheta },(  \frac { 1 } { 1 + O ^ { 2 } } ) \vartheta  ( \arctan ( O ) )  ^ { \vartheta - 1 }
O, ( \arctan ( O ) )  ^ { 0 },(  \frac { 1 } { 1 + O ^ { 2 } } ) 0
O,\kappa ^ {  ( \arctan ( O ) )  },(  \frac { 1 } { 1 + O ^ { 2 } } ) \kappa ^ {  ( \arctan ( O ) )  } \ln ( \kappa )
O,e ^ {  ( \arctan ( O ) )  },(  \frac { 1 } { 1 + O ^ { 2 } } ) e ^ {  ( \arctan ( O ) )  }
O,\exp (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \exp (  ( \arctan ( O ) )  )
O,\ln (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } {  ( \arctan ( O ) )  }
O,\log _ { \Xi } (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } {  ( \arctan ( O ) )  \ln ( { \Xi } ) }
O,\sin (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \cos (  ( \arctan ( O ) )  )
O,\cos (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) - \sin (  ( \arctan ( O ) )  )
O,\tan (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( O ) )  ) }
O,\cot (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( O ) )  ) }
O,\arcsin (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( O ) )  ^ { 2 } } }
O,\arccos (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( O ) )  ^ { 2 } } }
O,\arctan (  ( \arctan ( O ) )  ),(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( O ) )  ^ { 2 } }
O, ( \arctan ( O ) )  + e,(  \frac { 1 } { 1 + O ^ { 2 } } ) 1
O,\varphi -  ( \arctan ( O ) ) ,(  \frac { 1 } { 1 + O ^ { 2 } } ) - 1
O, ( \arctan ( O ) )  D,(  \frac { 1 } { 1 + O ^ { 2 } } ) D
O,\frac { 1 } {  ( \arctan ( O ) )  + J },(  \frac { 1 } { 1 + O ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( O ) )  + J ) ^ { 2 } }
O,\frac { 1 } { \psi -  ( \arctan ( O ) )  },(  \frac { 1 } { 1 + O ^ { 2 } } ) \frac { 1 } { ( \psi -  ( \arctan ( O ) )  ) ^ { 2 } }
P, ( \arctan ( P ) )  ^ {  },(  \frac { 1 } { 1 + P ^ { 2 } } )   ( \arctan ( P ) )  ^ {  - 1 }
P, ( \arctan ( P ) )  ^ { 0 },(  \frac { 1 } { 1 + P ^ { 2 } } ) 0
P,S ^ {  ( \arctan ( P ) )  },(  \frac { 1 } { 1 + P ^ { 2 } } ) S ^ {  ( \arctan ( P ) )  } \ln ( S )
P,e ^ {  ( \arctan ( P ) )  },(  \frac { 1 } { 1 + P ^ { 2 } } ) e ^ {  ( \arctan ( P ) )  }
P,\exp (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \exp (  ( \arctan ( P ) )  )
P,\ln (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } {  ( \arctan ( P ) )  }
P,\log _ { \Pi } (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } {  ( \arctan ( P ) )  \ln ( { \Pi } ) }
P,\sin (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \cos (  ( \arctan ( P ) )  )
P,\cos (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) - \sin (  ( \arctan ( P ) )  )
P,\tan (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( P ) )  ) }
P,\cot (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( P ) )  ) }
P,\arcsin (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( P ) )  ^ { 2 } } }
P,\arccos (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( P ) )  ^ { 2 } } }
P,\arctan (  ( \arctan ( P ) )  ),(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( P ) )  ^ { 2 } }
P, ( \arctan ( P ) )  + J,(  \frac { 1 } { 1 + P ^ { 2 } } ) 1
P,\kappa -  ( \arctan ( P ) ) ,(  \frac { 1 } { 1 + P ^ { 2 } } ) - 1
P, ( \arctan ( P ) )  m,(  \frac { 1 } { 1 + P ^ { 2 } } ) m
P,\frac { 1 } {  ( \arctan ( P ) )  + \Psi },(  \frac { 1 } { 1 + P ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( P ) )  + \Psi ) ^ { 2 } }
P,\frac { 1 } { \epsilon -  ( \arctan ( P ) )  },(  \frac { 1 } { 1 + P ^ { 2 } } ) \frac { 1 } { ( \epsilon -  ( \arctan ( P ) )  ) ^ { 2 } }
Q, ( \arctan ( Q ) )  ^ { s },(  \frac { 1 } { 1 + Q ^ { 2 } } ) s  ( \arctan ( Q ) )  ^ { s - 1 }
Q, ( \arctan ( Q ) )  ^ { 0 },(  \frac { 1 } { 1 + Q ^ { 2 } } ) 0
Q,v ^ {  ( \arctan ( Q ) )  },(  \frac { 1 } { 1 + Q ^ { 2 } } ) v ^ {  ( \arctan ( Q ) )  } \ln ( v )
Q,e ^ {  ( \arctan ( Q ) )  },(  \frac { 1 } { 1 + Q ^ { 2 } } ) e ^ {  ( \arctan ( Q ) )  }
Q,\exp (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \exp (  ( \arctan ( Q ) )  )
Q,\ln (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Q ) )  }
Q,\log _ { y } (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Q ) )  \ln ( { y } ) }
Q,\sin (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \cos (  ( \arctan ( Q ) )  )
Q,\cos (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) - \sin (  ( \arctan ( Q ) )  )
Q,\tan (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( Q ) )  ) }
Q,\cot (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( Q ) )  ) }
Q,\arcsin (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( Q ) )  ^ { 2 } } }
Q,\arccos (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( Q ) )  ^ { 2 } } }
Q,\arctan (  ( \arctan ( Q ) )  ),(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( Q ) )  ^ { 2 } }
Q, ( \arctan ( Q ) )  + s,(  \frac { 1 } { 1 + Q ^ { 2 } } ) 1
Q,\alpha -  ( \arctan ( Q ) ) ,(  \frac { 1 } { 1 + Q ^ { 2 } } ) - 1
Q, ( \arctan ( Q ) )  2,(  \frac { 1 } { 1 + Q ^ { 2 } } ) 2
Q,\frac { 1 } {  ( \arctan ( Q ) )  + Z },(  \frac { 1 } { 1 + Q ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( Q ) )  + Z ) ^ { 2 } }
Q,\frac { 1 } { \xi -  ( \arctan ( Q ) )  },(  \frac { 1 } { 1 + Q ^ { 2 } } ) \frac { 1 } { ( \xi -  ( \arctan ( Q ) )  ) ^ { 2 } }
R, ( \arctan ( R ) )  ^ { \Lambda },(  \frac { 1 } { 1 + R ^ { 2 } } ) \Lambda  ( \arctan ( R ) )  ^ { \Lambda - 1 }
R, ( \arctan ( R ) )  ^ { 0 },(  \frac { 1 } { 1 + R ^ { 2 } } ) 0
R,l ^ {  ( \arctan ( R ) )  },(  \frac { 1 } { 1 + R ^ { 2 } } ) l ^ {  ( \arctan ( R ) )  } \ln ( l )
R,e ^ {  ( \arctan ( R ) )  },(  \frac { 1 } { 1 + R ^ { 2 } } ) e ^ {  ( \arctan ( R ) )  }
R,\exp (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \exp (  ( \arctan ( R ) )  )
R,\ln (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } {  ( \arctan ( R ) )  }
R,\log _ { Y } (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } {  ( \arctan ( R ) )  \ln ( { Y } ) }
R,\sin (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \cos (  ( \arctan ( R ) )  )
R,\cos (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) - \sin (  ( \arctan ( R ) )  )
R,\tan (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( R ) )  ) }
R,\cot (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( R ) )  ) }
R,\arcsin (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( R ) )  ^ { 2 } } }
R,\arccos (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( R ) )  ^ { 2 } } }
R,\arctan (  ( \arctan ( R ) )  ),(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( R ) )  ^ { 2 } }
R, ( \arctan ( R ) )  + A,(  \frac { 1 } { 1 + R ^ { 2 } } ) 1
R,v -  ( \arctan ( R ) ) ,(  \frac { 1 } { 1 + R ^ { 2 } } ) - 1
R, ( \arctan ( R ) )  E,(  \frac { 1 } { 1 + R ^ { 2 } } ) E
R,\frac { 1 } {  ( \arctan ( R ) )  + \kappa },(  \frac { 1 } { 1 + R ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( R ) )  + \kappa ) ^ { 2 } }
R,\frac { 1 } { \Omega -  ( \arctan ( R ) )  },(  \frac { 1 } { 1 + R ^ { 2 } } ) \frac { 1 } { ( \Omega -  ( \arctan ( R ) )  ) ^ { 2 } }
S, ( \arctan ( S ) )  ^ { B },(  \frac { 1 } { 1 + S ^ { 2 } } ) B  ( \arctan ( S ) )  ^ { B - 1 }
S, ( \arctan ( S ) )  ^ { 0 },(  \frac { 1 } { 1 + S ^ { 2 } } ) 0
S,\mu ^ {  ( \arctan ( S ) )  },(  \frac { 1 } { 1 + S ^ { 2 } } ) \mu ^ {  ( \arctan ( S ) )  } \ln ( \mu )
S,e ^ {  ( \arctan ( S ) )  },(  \frac { 1 } { 1 + S ^ { 2 } } ) e ^ {  ( \arctan ( S ) )  }
S,\exp (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \exp (  ( \arctan ( S ) )  )
S,\ln (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } {  ( \arctan ( S ) )  }
S,\log _ { R } (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } {  ( \arctan ( S ) )  \ln ( { R } ) }
S,\sin (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \cos (  ( \arctan ( S ) )  )
S,\cos (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) - \sin (  ( \arctan ( S ) )  )
S,\tan (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( S ) )  ) }
S,\cot (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( S ) )  ) }
S,\arcsin (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( S ) )  ^ { 2 } } }
S,\arccos (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( S ) )  ^ { 2 } } }
S,\arctan (  ( \arctan ( S ) )  ),(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( S ) )  ^ { 2 } }
S, ( \arctan ( S ) )  + p,(  \frac { 1 } { 1 + S ^ { 2 } } ) 1
S,\delta -  ( \arctan ( S ) ) ,(  \frac { 1 } { 1 + S ^ { 2 } } ) - 1
S, ( \arctan ( S ) )  \tau,(  \frac { 1 } { 1 + S ^ { 2 } } ) \tau
S,\frac { 1 } {  ( \arctan ( S ) )  + \psi },(  \frac { 1 } { 1 + S ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( S ) )  + \psi ) ^ { 2 } }
S,\frac { 1 } { I -  ( \arctan ( S ) )  },(  \frac { 1 } { 1 + S ^ { 2 } } ) \frac { 1 } { ( I -  ( \arctan ( S ) )  ) ^ { 2 } }
T, ( \arctan ( T ) )  ^ { \Sigma },(  \frac { 1 } { 1 + T ^ { 2 } } ) \Sigma  ( \arctan ( T ) )  ^ { \Sigma - 1 }
T, ( \arctan ( T ) )  ^ { 0 },(  \frac { 1 } { 1 + T ^ { 2 } } ) 0
T,\varrho ^ {  ( \arctan ( T ) )  },(  \frac { 1 } { 1 + T ^ { 2 } } ) \varrho ^ {  ( \arctan ( T ) )  } \ln ( \varrho )
T,e ^ {  ( \arctan ( T ) )  },(  \frac { 1 } { 1 + T ^ { 2 } } ) e ^ {  ( \arctan ( T ) )  }
T,\exp (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \exp (  ( \arctan ( T ) )  )
T,\ln (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } {  ( \arctan ( T ) )  }
T,\log _ { w } (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } {  ( \arctan ( T ) )  \ln ( { w } ) }
T,\sin (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \cos (  ( \arctan ( T ) )  )
T,\cos (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) - \sin (  ( \arctan ( T ) )  )
T,\tan (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( T ) )  ) }
T,\cot (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( T ) )  ) }
